Time of Day,"Total
Incidents1",Arson,Bribery,"Burglary/
Breaking &
Entering","Counterfeiting/
Forgery","Destruction/
Damage/
Vandalism",Embezzlement,"Extortion/
Blackmail","Fraud 
Offenses","Larceny/
Theft
Offenses","Motor
Vehicle
Theft",Robbery,"Stolen 
Property 
Offenses"
Total,"82,37,977","31,982",849,"6,55,847","1,42,471","15,67,082","32,845","26,555","8,91,661","38,32,550","7,50,704","1,75,072","1,30,359"
Total A.M. Hours,"33,18,164","15,536",321,"3,20,599","58,749","6,77,620","13,910","10,641","3,85,944","13,92,243","3,26,891","64,733","50,977"
Midnight–12:59 a.m.,"6,97,257","2,467",82,"58,159","17,129","1,25,214","3,798","2,600","1,15,457","2,91,804","61,372","11,505","7,670"
1 a.m.–1:59 a.m.,"1,90,185","1,576",22,"21,542","1,904","53,019",259,475,"9,597","66,727","24,124","6,896","4,044"
2 a.m.–2:59 a.m.,"1,74,325","1,522",21,"23,448","1,315","47,847",199,358,"7,001","60,330","22,287","6,408","3,589"
3 a.m.–3:59 a.m.,"1,59,482","1,486",15,"25,085",950,"41,789",176,320,"5,773","55,299","20,306","5,364","2,919"
4 a.m.–4:59 a.m.,"1,38,284","1,285",11,"23,259",696,"34,531",158,241,"5,049","47,928","18,268","4,582","2,276"
5 a.m.–5:59 a.m.,"1,26,211","1,112",7,"18,867",647,"30,938",182,260,"5,074","45,073","18,424","3,843","1,784"
6 a.m.–6:59 a.m.,"1,52,975","1,021",10,"17,476","1,260","35,731",386,345,"9,501","59,745","22,170","3,235","2,095"
7 a.m.–7:59 a.m.,"2,10,911",964,12,"20,508","2,042","49,531",730,564,"14,863","88,165","27,280","3,093","3,159"
8 a.m.–8:59 a.m.,"3,53,394","1,041",37,"29,822","8,197","67,154","2,047","1,322","51,645","1,51,288","31,920","3,796","5,125"
9 a.m.–9:59 a.m.,"3,46,101",991,27,"27,572","7,890","64,734","1,887","1,242","49,833","1,53,670","27,996","4,558","5,701"
 10 a.m.–10:59 a.m.,"3,81,318","1,014",35,"28,276","8,341","64,888","2,053","1,481","56,499","1,79,712","27,529","5,315","6,175"
 11 a.m.–11:59 a.m.,"3,87,721","1,057",42,"26,585","8,378","62,244","2,035","1,433","55,652","1,92,502","25,215","6,138","6,440"
Total P.M. Hours,"47,93,469","15,948",484,"3,24,372","80,454","8,67,804","18,180","15,530","4,86,473","23,87,714","4,08,419","1,09,582","78,509"
Noon–12:59 p.m.,"5,35,599","1,114",52,"37,043","14,136","74,591","3,268","2,167","96,238","2,59,069","33,704","6,977","7,240"
1 p.m.–1:59 p.m.,"4,15,506","1,061",47,"25,171","9,086","60,732","2,225","1,361","58,732","2,18,033","24,515","7,423","7,120"
2 p.m.–2:59 p.m.,"4,38,719","1,133",43,"26,708","9,555","63,590","2,257","1,430","59,349","2,33,051","25,756","8,150","7,697"
3 p.m.–3:59 p.m.,"4,64,451","1,220",31,"29,718","9,807","69,960","2,174","1,528","59,253","2,45,270","28,733","9,033","7,724"
4 p.m.–4:59 p.m.,"4,60,243","1,235",33,"30,126","8,758","73,099","1,943","1,451","52,636","2,42,902","31,057","9,295","7,708"
5 p.m.–5:59 p.m.,"4,65,750","1,271",42,"34,069","6,576","82,123","1,621","1,451","41,937","2,43,570","36,456","9,406","7,228"
6 p.m.–6:59 p.m.,"4,33,987","1,331",36,"30,242","5,385","79,616","1,253","1,272","32,979","2,27,184","37,895","10,031","6,763"
7 p.m.–7:59 p.m.,"3,83,342","1,413",46,"24,262","4,626","73,336",950,"1,182","26,080","1,98,881","36,040","10,265","6,261"
8 p.m.–8:59 p.m.,"3,65,368","1,424",39,"24,094","4,245","76,819",782,"1,149","21,188","1,78,982","40,073","10,824","5,749"
9 p.m.–9:59 p.m.,"3,14,106","1,537",36,"22,108","3,427","73,970",651,961,"16,025","1,39,769","39,936","10,448","5,238"
 10 p.m.–10:59 p.m.,"2,86,869","1,642",44,"21,810","2,725","75,205",656,866,"12,435","1,15,816","41,262","9,272","5,136"
 11 p.m.–11:59 p.m.,"2,29,529","1,567",35,"19,021","2,128","64,763",400,712,"9,621","85,187","32,992","8,458","4,645"
Unknown Time of Day,"1,26,344",498,44,"10,876","3,268","21,658",755,384,"19,244","52,593","15,394",757,873
