,"Total
Incidents1","Total Incidents
Cleared","Cleared by
Arrest3","Cleared by
Exceptional 
Means"
Total,12225903,4368552,4013874,354678
Crimes Against Persons,3577008,1498518,1283300,215218
Assault Offenses,3302140,1415429,1216980,198449
Homicide Offenses,16267,8745,7919,826
Human Trafficking Offenses,3062,1072,996,76
Kidnapping/Abduction,47803,27483,25985,1498
Sex Offenses,207736,45789,31420,14369
Crimes Against Property,8237977,1366901,1261013,105888
Arson,31982,8710,8225,485
Bribery,849,500,488,12
Burglary/Breaking & Entering,655847,101941,94991,6950
Counterfeiting/Forgery,142471,36126,34490,1636
Destruction/Damage/Vandalism,1567082,255302,226165,29137
Embezzlement,32845,9086,7973,1113
Extortion/Blackmail,26555,1112,812,300
Fraud Offenses,891661,104525,93887,10638
Larceny/Theft Offenses,3832550,640863,597555,43308
Motor Vehicle Theft,750704,67598,59494,8104
Robbery,175072,51606,48644,2962
Stolen Property Offenses,130359,89532,88289,1243
Crimes Against Society,2025345,1503133,1469561,33572
Animal Cruelty,25160,6905,6474,431
Drug/Narcotic Offenses,1577175,1242881,1217944,24937
Gambling Offenses,3273,1640,1532,108
Pornography/Obscene Material,50342,10975,8625,2350
Prostitution Offenses,16239,12014,11864,150
Weapon Law Violations,353156,228718,223122,5596
